0,1,label
0.511,1.0,0
0.58,0.812,0
0.117,0.577,1
0.839,0.652,1
0.338,0.653,1
0.344,0.423,1
0.164,0.54,1
0.259,0.849,1
0.476,0.618,1
0.315,0.374,1
0.317,0.75,1
0.47,0.515,1
0.392,0.504,1
0.119,0.366,1
0.695,0.674,1
0.538,0.757,1
0.003,0.606,1
0.644,0.67,1
0.623,0.933,1
0.562,0.573,1
0.53,0.472,1
0.451,0.675,1
0.281,0.677,1
0.34,0.664,1
0.389,0.243,1
0.24,0.566,1
0.442,0.404,1
0.255,0.54,1
0.439,0.305,1
0.269,0.588,1
0.281,0.652,1
0.213,0.679,1
0.076,0.599,1
0.553,0.594,1
0.297,0.65,1
0.712,0.385,1
0.542,0.597,1
0.294,0.828,1
0.493,0.383,1
0.684,0.901,1
0.38,0.6,1
0.515,0.599,1
0.393,0.247,1
0.269,0.667,1
0.629,0.712,1
0.415,0.5,1
0.473,0.777,1
0.28,0.61,1
0.367,0.504,1
0.172,0.366,1
0.186,0.426,1
0.91,0.495,1
0.576,0.371,1
0.346,0.578,1
0.341,0.486,1
0.039,0.588,1
0.277,0.334,1
0.211,0.476,1
0.487,0.506,1
0.43,0.634,1
0.22,0.306,1
0.69,0.634,1
0.277,0.755,1
0.459,0.487,1
0.38,0.621,1
0.563,0.763,1
0.319,0.608,1
0.616,0.796,1
0.526,0.0,1
0.196,0.438,1
0.324,0.322,1
0.188,0.452,1
0.745,0.487,1
0.088,0.416,1
0.645,0.388,1
0.443,0.298,1
0.369,0.376,1
0.554,0.312,1
0.222,0.66,1
0.56,0.907,1
0.608,0.429,1
0.537,0.416,1
0.712,0.651,1
0.433,0.465,1
0.29,0.752,1
0.323,0.734,1
0.644,0.715,1
0.565,0.477,1
0.127,0.784,1
0.505,0.578,1
0.891,0.688,1
0.46,0.614,1
0.344,0.373,1
0.86,0.521,1
0.32,0.535,1
0.63,0.641,1
0.441,0.683,1
0.256,0.403,1
0.338,0.343,1
0.303,0.527,1
0.575,0.304,1
0.67,0.706,1
0.509,0.682,1
0.301,0.522,1
0.607,0.483,1
0.46,0.667,1
0.43,0.383,1
0.8,0.549,1
0.624,0.331,1
0.647,0.645,1
0.551,0.629,1
0.106,0.735,1
0.29,0.425,1
0.459,0.629,1
0.157,0.564,1
1.0,0.728,1
0.369,0.481,1
0.238,0.499,1
0.397,0.756,1
0.502,0.552,1
0.398,0.334,1
0.48,0.661,1
0.892,0.41,1
0.74,0.611,1
0.916,0.515,1
0.584,0.526,1
0.843,0.584,1
0.385,0.684,1
0.282,0.696,1
0.811,0.581,1
0.92,0.615,1
0.54,0.676,1
0.536,0.599,1
0.417,0.53,1
0.318,0.409,1
0.772,0.421,1
0.546,0.697,1
0.662,0.66,1
0.397,0.522,1
0.529,0.636,1
0.594,0.348,1
0.627,0.684,1
0.673,0.72,1
0.561,0.628,1
0.396,0.696,1
0.407,0.784,1
0.67,0.755,1
0.613,0.493,1
0.519,0.456,1
0.391,0.529,1
0.541,0.812,1
0.363,0.545,1
0.367,0.441,1
0.353,0.443,1
0.436,0.488,0
0.376,0.398,0
0.74,0.89,0
0.741,0.669,0
0.663,0.658,0
0.261,0.509,0
0.602,0.415,0
0.52,0.827,0
0.644,0.779,0
0.291,0.565,1
0.0,0.431,0
0.414,0.881,0
0.325,0.805,0
0.526,0.619,0
0.523,0.53,0
0.536,0.886,0
0.465,0.53,0
0.058,0.744,0
0.242,0.895,0
0.409,0.881,0
0.446,0.901,0
0.425,0.564,0
0.368,0.819,0
0.445,0.66,0
0.302,0.687,0
0.449,0.643,0
0.412,0.654,0
0.187,0.983,0
0.156,0.375,0
0.435,0.772,0
0.574,0.552,0
0.554,0.381,0
0.532,0.566,0
0.469,0.586,0
0.296,0.526,0
0.483,0.808,0
0.208,0.472,0
0.556,0.857,0
0.262,0.453,0
0.389,0.573,0
0.1,0.482,0
0.29,0.526,0
0.669,0.705,0
0.719,0.425,0
0.265,0.562,0
0.258,0.669,0
0.361,0.473,0
0.19,0.861,0
0.547,0.675,0
0.458,0.662,0
0.671,0.51,0
0.339,0.36,0
0.618,0.479,0
0.607,0.879,0
0.371,0.74,0
0.544,0.583,0
0.334,0.756,0
0.793,0.631,0
0.46,0.628,0
0.632,0.856,0
0.715,0.617,0
0.694,0.554,0
0.463,0.655,0
0.581,0.729,0
0.331,0.453,0
0.582,0.593,0
0.547,0.354,0
0.411,0.639,0
0.061,0.419,0
0.151,0.483,0
0.248,0.52,0
0.078,0.612,0
0.529,0.731,0
0.31,0.4,0
0.232,0.722,0
0.886,0.894,0
0.256,0.593,0
0.397,0.495,0
0.444,0.571,0
0.639,0.66,0
0.327,0.708,0
0.467,0.486,0
0.25,0.868,0
0.545,0.412,0
0.727,0.602,0
0.591,0.731,0
